NAMA_PROVINSI,NAMA_KABUPATEN,NAMA_KECAMATAN,NAMA_DESA,Data_Tahun,Jumlah
JAWA BARAT, BOGOR,GUNUNG PUTRI,WANAHERANG,2019,3
JAWA BARAT, BOGOR,GUNUNG PUTRI,BOJONG KULUR,2019,2
JAWA BARAT, BOGOR,GUNUNG PUTRI,CIANGSANA,2019,27
JAWA BARAT, BOGOR,GUNUNG PUTRI,GUNUNG PUTRI,2019,0
JAWA BARAT, BOGOR,GUNUNG PUTRI,BOJONG NANGKA,2019,0
JAWA BARAT, BOGOR,GUNUNG PUTRI,TLAJUNG UDIK,2019,0
JAWA BARAT, BOGOR,GUNUNG PUTRI,CICADAS,2019,0
JAWA BARAT, BOGOR,GUNUNG PUTRI,CIKEAS UDIK,2019,0
JAWA BARAT, BOGOR,GUNUNG PUTRI,NAGRAK,2019,0
JAWA BARAT, BOGOR,GUNUNG PUTRI,KARANGGAN,2019,0
JAWA BARAT, BOGOR,CITEUREUP,PUSPASARI,2019,0
JAWA BARAT, BOGOR,CITEUREUP,CITEUREUP,2019,35
JAWA BARAT, BOGOR,CITEUREUP,LEUWINUTUG,2019,2
JAWA BARAT, BOGOR,CITEUREUP,TAJUR,2019,0
JAWA BARAT, BOGOR,CITEUREUP,SANJA,2019,32
JAWA BARAT, BOGOR,CITEUREUP,KARANG ASEM TIMUR,2019,0
JAWA BARAT, BOGOR,CITEUREUP,TARIKOLOT,2019,16
JAWA BARAT, BOGOR,CITEUREUP,GUNUNGSARI,2019,0
JAWA BARAT, BOGOR,CITEUREUP,TANGKIL,2019,0
JAWA BARAT, BOGOR,CITEUREUP,SUKAHATI,2019,0
JAWA BARAT, BOGOR,CITEUREUP,HAMBALANG,2019,2
JAWA BARAT, BOGOR,CITEUREUP,PASIRMUKTI,2019,0
JAWA BARAT, BOGOR,SUKARAJA,GUNUNGGEULIS,2019,0
JAWA BARAT, BOGOR,SUKARAJA,CILEBUT TIMUR,2019,0
